Name,SM_PubChem_CID,SMILES
KS-00000TTF,216344,C[C@H]1CCC[C@@]2(C)O[C@H]2C[C@H](NC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@H]1O)C(=Cc3csc(C)n3)C
MLS001049159,5718958,Cc1[nH]c2ccccc2c1\C=C\C(=O)c3ccncc3
AC1O48WB,6356811,CCN(CC)CCCN\C=C/1\C(=O)N(C(=O)c2ccccc12)c3c(C)cccc3C
SMR000171258,1968675,COc1nccnc1NS(=O)(=O)c2ccc(NC(=S)NC(=O)\C=C\c3ccc(F)cc3)cc2
MLS000585415,6054970,CCn1c(C)cc(\C=C/2\NC(=O)N(CC(=O)Nc3cccc(C)c3)C2=O)c1C
BRD-K67053230,,C\C=C\c1ccc(cc1)[C@H]2[C@@H]3CN(C[C@H]2N3)C(=O)Nc4ccc5OCOc5c4
BRD-K69682028,,Fc1cccc(CN2C[C@@H]3N[C@H](C2)[C@@H]3c4ccc(\C=C\c5ccccc5)cc4)c1
BRD-K14538540,,O=C(Cc1ccncc1)N2C[C@@H]3N[C@H](C2)[C@H]3c4ccc(\C=C\c5ccccc5)cc4
MLS000565629,2418641,CC(C)Cn1c(C)cc(\C=C(/C#N)\C(=O)OCC(=O)NC(=O)NCC=C)c1C
BRD-K99188848,,C\C=C\c1ccc(cc1)[C@@H]2[C@@H]3CN(C[C@H]2N3)S(=O)(=O)c4cn(C)cn4
BRD-K33986184,,C\C=C\c1ccc(cc1)[C@@H]2[C@@H]3CN(C[C@H]2N3)C(=O)NC4CCCCC4
AJ-292/41694460,1213420,COc1cc(NC(=S)N2CCN(C\C=C\c3ccccc3)CC2)cc(OC)c1
BRD-K16425675,,COc1ccccc1NC(=O)N2C[C@@H]3N[C@H](C2)[C@H]3c4ccc(\C=C\c5ccccc5)cc4
STK698814,5425073,CC1=NN(C(=O)/C/1=C\c2cn(C)c3ccccc23)c4ccccc4
BRD-K72583129,,C(N1C[C@@H]2N[C@H](C1)[C@@H]2c3ccc(\C=C\c4ccccc4)cc3)c5cocn5
SMR000046233,5389928,O=C1NC(=O)\C(=C/Nc2ccc(CN3CCOCC3)cc2)\C(=O)N1Cc4ccccc4
BRD-K76612659,,COc1ccccc1c2ccc(cc2)[C@@H]3[C@@H]4CN(Cc5cccc(F)c5)C[C@H]3N4
AC1NVUYH,5603670,CCN(CC)c1ccc(N\C=C/2\C(=O)NC(=O)N(Cc3ccccc3)C2=O)cc1
AC1LYJTX,1876861,COC(=O)C1=C(C)N(\C(=C\c2ccc(O)cc2)\C1=O)c3ccc(C)cc3
SMR000065278,2698138,O=C(CN1CCN(CC1)S(=O)(=O)\C=C\c2ccccc2)NC(=O)NCc3occc3
ZINC04994158,5925511,Cc1cccc2cc(\C=C\C(=O)c3occc3)c(Cl)nc12
MLS000580382,2040656,C\C(=C/c1ccccc1)\C=C\2/SC(=O)N(CCCC(=O)O)C2=O
AN-329/42342310,5840375,Fc1ccc(\C=C\c2oc(nn2)c3cccs3)cc1
AC1NWAJC,5701993,COC(=O)\C(=C\1/OC(=O)C(C1=O)c2ccccc2)\c3ccccc3
BRD-K69729196,,CN(C)C(=O)c1cccc(c1)c2ccc(cc2)[C@@H]3[C@@H]4CN(Cc5ccccc5F)C[C@H]3N4
BRD-K30553817,23626931,BrCC(=O)NCCc1ccc2ccccc2c1
"8-Hydroxy-15,16-bisnor-11-labden-13-one",6857787,CC(=O)\C=C/[C@H]1[C@](C)(O)CCC2C(C)(C)CCC[C@]12C
BRD-K70759550,,Fc1ccccc1c2ccc(cc2)[C@H]3[C@@H]4CN(C[C@H]3N4)C(=O)C5CCOCC5
AC1LDUJE,701648,Cc1ccsc1\C=C\2/SC(=NC2=O)N3CCOCC3
MLS000574019,1345238,Cc1ccc(\C=C\2/SC(=S)N(CCCC(=O)Nc3ccccn3)C2=O)cc1
BRD-K58225827,,O=C(N1C[C@@H]2N[C@H](C1)[C@@H]2c3ccc(cc3)c4ccc(cc4)C#N)c5ccncc5
SMR000218646,1227448,FC(F)(F)c1cccc(c1)c2oc(\C=C\3/N=C(OC3=O)c4occc4)cc2
MLS000703257,5511401,O=C1Nc2ccccc2/C/1=C\3/SC(=NC3=O)NS(=O)(=O)c4ccccc4
AC1M5F2W,2327486,CN1\C(=C/C(=O)Nc2cccc(Cl)c2)\C(C)(C)c3ccccc13
SMR000147314,1965523,Cc1ccc(Cc2cnc(NC(=O)\C(=C\c3oc(cc3)c4ccc(cc4)[N+](=O)[O-])\C#N)s2)cc1
BRD-K67432391,,COc1ccccc1c2ccc(cc2)[C@H]3[C@@H]4CN(C[C@H]3N4)S(=O)(=O)c5ccc(C)cc5
MLS000778544,2021233,O=C1N(NS(=O)(=O)c2ccccc2)C(=S)S/C/1=C\c3cccs3
MLS000681631,6477637,COc1cc(\C=C/2\CC\C(=C\c3ccc(O)c(OC)c3)\C2=O)ccc1O
BAS 00779103,1951245,CN1CCN(CC1)C(=O)CCN2C(=S)S\C(=C\c3ccc(C)cc3)\C2=O
BRD-K88961159,,Cc1cccc(c1)S(=O)(=O)N2C[C@@H]3N[C@H](C2)[C@H]3c4ccc(cc4)c5ccccc5C
BRD-K93685980,,CN(C)C(=O)c1ccc(cc1)c2ccc(cc2)[C@H]3[C@@H]4CN(C[C@H]3N4)C(=O)C5CCC5
BRD-K77144444,,COc1cccc(c1)c2ccc(cc2)[C@H]3[C@@H]4CN(C[C@H]3N4)C(=O)Nc5ccccc5F
BRD-K68338581,,O=C(N1C[C@@H]2N[C@H](C1)[C@@H]2c3ccc(cc3)c4cccc(c4)C#N)c5cccnc5
BRD-K95146554,,CN(C)CC(=O)N1C[C@@H]2N[C@H](C1)[C@@H]2c3ccc(cc3)c4ccncc4
BRD-K76951133,,C(N1C[C@@H]2N[C@H](C1)[C@@H]2c3ccc(cc3)c4ccccc4)c5cccnc5
SMR000063971,2128917,CCOC(=O)\C=C\1/SCC(=O)N1CC(=O)Nc2ccccc2OC(F)F
Anagrelide,2182,Clc1ccc2N=C3NC(=O)CN3Cc2c1Cl
BRD-K99319496,,O=C(N1C[C@@H]2N[C@H](C1)[C@@H]2c3ccc(cc3)c4cncnc4)c5ccc6OCOc6c5
BRD-K86127131,,FC(F)(F)c1ccc(NC(=O)N2C[C@@H]3N[C@H](C2)[C@H]3c4ccc(cc4)c5cccnc5)cc1
BRD-K95883555,,CN(C)C(=O)c1cccc(c1)c2ccc(cc2)[C@@H]3[C@@H]4CN(C[C@H]3N4)C(=O)CN5CCOCC5
BRD-K99721024,,Cc1ccccc1c2ccc(cc2)[C@@H]3[C@@H]4CN(C[C@H]3N4)C(=O)Cc5ccncc5
MLS000121367,1933256,O=C(Cc1cccs1)NNC(=S)NC(=O)\C=C\c2ccccc2
BRD-K87888439,,CN(C)C(=O)c1ccc(cc1)c2ccc(cc2)[C@H]3[C@@H]4CN(Cc5ccc6OCOc6c5)C[C@H]3N4
BRD-K51498721,,COc1cccc(c1)c2ccc(cc2)[C@@H]3[C@H]4CNC[C@@H]3N4C(=O)Nc5ccccc5F
BRD-K36439830,,COc1cccc(NC(=O)N2[C@@H]3CNC[C@H]2[C@@H]3c4ccc(cc4)c5ccncc5)c1
BRD-K32853132,,Fc1ccc(cc1)S(=O)(=O)N2C[C@@H]3N[C@H](C2)[C@H]3c4ccc(cc4)c5ccc(cc5)C#N
BRD-K21868159,,COc1cc(CN2C[C@@H]3N[C@H](C2)[C@H]3c4ccc(cc4)c5cncnc5)cc(OC)c1
SMR000131772,5837173,Oc1c(\C=C/2\NC(=S)NC2=O)cccc1[N+](=O)[O-]
BRD-K67857349,,Cc1ccccc1c2ccc(cc2)[C@@H]3[C@@H]4CN(C[C@H]3N4)C(=O)NC5CCCCC5
MLS000394839,6141196,CN(c1ccccc1)c2ccc(\C=C(/CCC(=O)O)\c3nc4ccccc4s3)cc2[N+](=O)[O-]
BRD-K26051610,,FC(F)(F)c1ccc(NC(=O)N2C[C@@H]3N[C@H](C2)[C@H]3c4ccc(cc4)c5cccc(c5)C#N)cc1
BRD-K18123565,,Cc1ccccc1c2ccc(cc2)[C@H]3[C@@H]4CN(C[C@H]3N4)C(=O)Nc5ccc(F)cc5
MLS000588330,5780532,O=C1N(C2CCS(=O)(=O)C2)C(=S)S/C/1=C\c3cccnc3
BRD-K96044609,54657831,O[C@@H]1COC[C@H]2O[C@H](CC(=O)NC3CCC3)CC[C@@H]2N(Cc4ccccc4F)C1
T0503-5104,6151264,CCOC(=O)Cc1csc(N\C=C/2\C(=O)N(C(=O)c3ccccc23)c4ccccc4C(F)(F)F)n1
BRD-K83522452,,CN(C)C(=O)c1cccc(c1)c2ccc(cc2)[C@@H]3[C@@H]4CN(C[C@H]3N4)C(=O)c5cnccn5
BRD-K50383095,,Cc1cccc(c1)c2ccc(cc2)[C@@H]3[C@@H]4CN(C[C@H]3N4)C(=O)c5ccncc5
AC1LYSWE,1932984,COc1ccc(\C=C\C(=O)NC(=S)NNC(=O)c2cccs2)cc1
BRD-K82118272,,Fc1ccccc1c2ccc(cc2)[C@@H]3[C@@H]4CN(Cc5ccccc5)C[C@H]3N4
BRD-K30160673,,Fc1cccc(CN2C[C@@H]3N[C@H](C2)[C@H]3c4ccc(cc4)c5cncnc5)c1
STK392665,1369404,OC(=O)CN1C(=S)S\C(=C\c2cccc(OCc3ccc(Cl)cc3Cl)c2)\C1=O
1G-013,16195260,Oc1ccc(Cl)cc1N\C=C(/C2OC(=O)c3ccccc23)\[N+](=O)[O-]
BRD-K90733601,,COc1ccccc1NC(=O)N2C[C@@H]3N[C@H](C2)[C@H]3c4ccc(cc4)c5ccc(cc5)C(=O)N(C)C
BRD-K80150641,,Cc1ccccc1c2ccc(cc2)[C@@H]3[C@@H]4CN(Cc5ccc6OCOc6c5)C[C@H]3N4
BRD-K50598383,,Cc1ccccc1c2ccc(cc2)[C@@H]3[C@@H]4CN(C[C@H]3N4)C(=O)C5CCC5
BRD-K35376105,,O=C(N1C[C@@H]2N[C@H](C1)[C@@H]2c3ccc(cc3)c4cccc(c4)C#N)c5ccc6OCOc6c5
Cyclosporine,16404350,CCC1NC(=O)C([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
MLS000777255,1922279,CCOc1ccc(\C=C\2/SC(=S)N(CCC(=O)O)C2=O)cc1
BRD-K52536034,,O=C(C1CCCCC1)N2C[C@@H]3N[C@H](C2)[C@H]3c4ccc(cc4)c5ccc(cc5)C#N
BRD-K63197664,,Fc1ccc(cc1)C(=O)N2C[C@@H]3N[C@H](C2)[C@@H]3c4ccc(cc4)c5cccnc5
BRD-K98870618,,COc1ccccc1NC(=O)N2C[C@@H]3N[C@H](C2)[C@@H]3c4ccc(cc4)c5cccc(c5)C#N
BRD-K49333142,,COc1cc(CN2C[C@@H]3N[C@H](C2)[C@H]3c4ccc(cc4)c5ccc(cc5)C#N)cc(OC)c1
BRD-K67544217,,COc1ccc(cc1)c2ccc(cc2)[C@H]3[C@@H]4CN(C[C@H]3N4)S(=O)(=O)c5ccccc5C
N-(3-Phenylpropyl)-9H-purin-6-amine,134684,C(CNc1[nH]cnc2ncnc12)Cc3ccccc3
BRD-K95007304,,COc1ccc(cc1)c2ccc(cc2)[C@@H]3[C@@H]4CN(C[C@H]3N4)C(=O)c5ccc(F)cc5
AC1NULM6,5455094,COc1ccc(NN\C=C/2\C(=O)NC(=O)N(C2=O)c3ccc(C)c(C)c3)cc1
MLS000806933,1611092,OC(=O)CCN1C(=S)S\C(=C/c2ccc(OCC=C)cc2)\C1=O
Disulfiram,3117,CCN(CC)C(=S)SSC(=S)N(CC)CC
AE-848/37236038,687498,Cc1sc(NC(=O)\C=C\c2occc2)c(C(=O)O)c1C
SMR000200880,5740731,CCOc1cc(\C=C(\C#N)/c2nc3ccccc3[nH]2)ccc1OCc4oc(cc4)C(=O)O
AC1O1NDE,6150155,O=C1OC(=N/C/1=C/C=C/c2ccccc2)\C=C\c3ccccc3
STK848350,1299088,Cc1ccc(cc1)c2csc(NC(=S)NC(=O)\C=C\c3occc3)n2
MLS001043228,1716445,Cc1oc(\C=C\2/C(=O)ON=C2c3ccc(C)cc3)cc1
SMR000221005,2040126,Cc1ccc(\C=C\2/SC(=S)N(CCC(=O)NNS(=O)(=O)c3ccccc3)C2=O)cc1
BRD-K97173328,54660727,OC[C@H]1[C@@H]2CN3C(=O)C(=CC=C3[C@@H]2N(CC4CC4)[C@@H]1C(=O)N5CCCCC5)C6=CCCC6
Fomepizole,3406,Cc1cn[nH]c1
MLS000532428,5338999,CNC(=O)\C=C\1/NC(C)(C)Cc2ccccc12
2-(Ethylmercuriothio)benzoic acid,67361,CC[Hg]Sc1ccccc1C(=O)O
STK285715,5786987,CC(C)N1C(=O)\C(=C/C2=Nc3ccccc3C(=O)N2c4ccccc4)\c5ccccc15
Aminocaproic acid,564,NCCCCCC(=O)O
MLS000762841,6356364,COc1ccc(N\C=C/2\C(=O)N(C(=O)c3ccccc23)c4cccc(C)n4)c(OC)c1
AC1M33RP,2230978,COc1ccc(cc1)C(=O)\C=C/N2CCOCC2
MLS000590299,729707,Cn1cc(\C=C(/C#N)\C(=O)Nc2cccc(c2)[N+](=O)[O-])c3ccccc13
MLS000537839,2207202,Cc1cc([nH]n1)C(=O)NNC(=S)NC(=O)\C=C\c2ccccc2Cl
STK379071,3115304,CCCCN1C(=S)S\C(=C\2/C=CC=CN2C)\C1=O
ST058281,6529937,CCOC(=O)c1sc(nc1C)N2N=C(C)\C(=C/c3ccc(OCC(=O)OC)cc3)\C2=O
ST50639415,3243931,COC(=O)C1C(C)Cc2[nH]c(C(=O)OC3CCCC3)c(C)c2C1=O
ZINC00441232,2235987,COc1cc(\C=C\2/SC(=NC2=O)N3CCC(C)CC3)ccc1O
MLS000766601,915546,COc1ccc2nc3c(O)n(CCCN4CCOCC4)cnc3c2c1
MLS000575881,2296037,CCNC(=O)\C(=C\c1occc1)\NC(=O)\C=C\c2ccccc2
MLS000706809,5821715,FC(F)(F)c1ccc(N\C=C/2\SC3CCC(=O)N3C2=O)cc1
BRD-K97373677,54654521,CC(C)C(=O)Nc1ccc2OC[C@H]3O[C@@H](CC(=O)Nc4ccc(Cl)cc4)CC[C@@H]3N(C)C(=O)c2c1
4-(4-Ethyl-1-piperazinyl)-4-oxo-2-butenoic acid,1561995,CCN1CCN(CC1)C(=O)\C=C/C(=O)O
Triacetylresveratrol,5962587,CC(=O)Oc1ccc(\C=C\c2cc(OC(=O)C)cc(OC(=O)C)c2)cc1
Methanandamide,6321351,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)N[C@H](C)CO
CDK1 Inhibitor,5472558,Clc1[nH]c2ccccc2c1\C=C/3\C(=O)Nc4ccccc34
17-Phenyl-trinor-pge2,5283068,O[C@@H](CCc1ccccc1)\C=C\[C@H]2[C@H](O)CC(=O)[C@@H]2C\C=C/CCCC(=O)O
Pteryxin,5320509,C\C=C(/C)\C(=O)O[C@H]1[C@@H](OC(=O)C)C(C)(C)Oc2ccc3C=CC(=O)Oc3c12
MLS003130099,46903458,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)NC2CCCCC2)Oc3ncc(\C=C\c4ccccc4)cc3C1=O
CHEMBL3182991,54619383,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2cc(F)ccc2F)Oc3cc(\C=C\c4ccccc4)ccc3S1(=O)=O
Sinapic Acid Methyl Ether,735755,COc1cc(\C=C\C(=O)O)cc(OC)c1OC
BRD-K97440159,54638900,C[C@@H](NC(=O)C[C@@H]1CC[C@H](NC(=O)c2cccnc2)[C@@H](CO)O1)c3ccccc3
"7,7-Dimethyleicosadienoicacid",5312331,CCCCCCCCCCC\C=C/C(C)(C)\C=C/CCCC(=O)O
1-Benzyl-5-(4-chlorophenyl)-1H-imidazole-2-thiol,4868391,Sc1ncc(c2ccc(Cl)cc2)n1Cc3ccccc3
BRD-K97489107,54638356,Cn1cnc(c1)S(=O)(=O)N[C@@H]2C=C[C@H](CC(=O)N3CCN(CC3)c4ccccc4)O[C@H]2CO
Ferulic acid,445858,COc1cc(\C=C\C(=O)O)ccc1O
Aca,5353376,CCCCCc1ccc(\C=C\C(=O)Nc2ccccc2C(=O)O)cc1
AC1M3E7F,2188292,Cc1oc(\C=C\2/C(=O)NC(=O)N(Cc3ccccc3Cl)C2=O)cc1
MLS000098923,2120108,Cc1ccccc1C(=O)\C=C\2/NC(=O)CS2
MLS000775691,2454926,Oc1ccc(cc1)N2CCN(CC2)C(=O)\C=C\c3cccs3
Sunitinib,3086686,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc23)c1C
